,learning_rate,max_depth,n_estimators,objective,NDCG
0,0.05,20,200,rank:ndcg,0.4023310415969978
0,0.05,12,110,rank:pairwise,0.4023005483108982
0,0.025,6,110,rank:map,0.4022629400021103
0,0.3,8,200,rank:map,0.40189954661969457
0,0.01,12,150,rank:map,0.4018474725736464
0,0.05,20,300,rank:pairwise,0.4017870261409321
0,0.01,10,150,rank:ndcg,0.40171381711014426
0,0.025,15,150,rank:ndcg,0.4015953379802495
0,0.01,10,150,rank:map,0.401550439917254
0,0.01,15,500,rank:ndcg,0.4014745723419042
0,0.4,8,110,rank:pairwise,0.40139828000060185
0,0.05,20,300,rank:map,0.401365378395134
0,0.05,15,500,rank:ndcg,0.40124606571541616
0,0.05,12,150,rank:pairwise,0.4011540442500268
0,0.025,20,300,rank:pairwise,0.4011189301455665
0,0.1,30,300,rank:map,0.4010712489067374
0,0.05,15,300,rank:map,0.40104473646034056
0,0.4,8,110,rank:map,0.4009597713059583
0,0.4,8,150,rank:ndcg,0.4009508771218708
0,0.1,12,110,rank:ndcg,0.4008342867327459
0,0.01,20,500,rank:ndcg,0.4008146695812964
0,0.01,15,500,rank:pairwise,0.4007164987884577
0,0.025,15,110,rank:ndcg,0.4007100005073463
0,0.1,10,500,rank:ndcg,0.4006290997766999
0,0.05,12,500,rank:ndcg,0.4006081976090713
0,0.05,15,200,rank:ndcg,0.40050306367309296
0,0.01,15,200,rank:map,0.4003560023308334
0,0.01,10,110,rank:ndcg,0.4003275690360673
0,0.01,10,200,rank:ndcg,0.4002923771856831
0,0.4,6,500,rank:ndcg,0.4002699045759308
0,0.05,30,300,rank:pairwise,0.4002613045673281
0,0.01,8,150,rank:ndcg,0.40021211627633213
0,0.05,15,300,rank:ndcg,0.4001145756739513
0,0.01,8,150,rank:map,0.400110270106274
0,0.1,30,200,rank:map,0.4001012584709479
0,0.01,12,110,rank:ndcg,0.4000909489881136
0,0.3,8,200,rank:pairwise,0.3998554808049196
0,0.1,15,200,rank:ndcg,0.39984655834823707
0,0.01,6,200,rank:ndcg,0.3998333654571191
0,0.1,15,300,rank:ndcg,0.39974570891832417
0,0.025,30,300,rank:map,0.3996928114355911
0,0.01,15,200,rank:pairwise,0.3995856218526912
0,0.025,20,200,rank:ndcg,0.3995827591720856
0,0.1,30,300,rank:ndcg,0.3995747357592521
0,0.1,20,500,rank:map,0.39956011622952337
0,0.025,20,200,rank:map,0.399462224421662
0,0.01,15,200,rank:ndcg,0.3993340161913608
0,0.01,10,110,rank:map,0.39927206030892026
0,0.025,30,300,rank:ndcg,0.3992485222149981
0,0.1,30,500,rank:ndcg,0.39914128750495736
0,0.01,20,500,rank:map,0.39912841718280456
0,0.05,20,200,rank:map,0.3990760725940084
0,0.01,15,300,rank:ndcg,0.3990678202238815
0,0.1,12,150,rank:map,0.3990382965583374
0,0.1,20,300,rank:pairwise,0.3990016920908684
0,0.01,20,500,rank:pairwise,0.39895421949281823
0,0.05,12,300,rank:pairwise,0.3987672911430937
0,0.025,20,200,rank:pairwise,0.39873914923249454
0,0.3,8,300,rank:ndcg,0.3986993536387949
0,0.1,10,500,rank:pairwise,0.3986940698912568
0,0.01,8,110,rank:map,0.39859461994487577
0,0.01,15,300,rank:pairwise,0.3984663390458084
0,0.1,30,150,rank:map,0.3984544333749829
0,0.1,15,150,rank:ndcg,0.3983998743696259
